segment,dts_median,dts_mean,dts_p25,dts_p75,sell_through_30d_pct,sold_30d_count,total_sold,total_items,price_p25,price_p50,price_p75,price_mean,avg_discount_pct,median_discount_pct,liquidity_score,liquidity_grade
Overall,3.2377156550231483,3.59943587281662,1.6618661027893518,4.957797264236111,92.21393868319652,22017,22017,23876,6.0,12.0,25.0,20.031111576478473,10.202904380774749,13.567665800188632,94.60380724162809,A
"Brand: ""BELCCI""",1.0025182918981481,1.0025182918981481,1.0025182918981481,1.0025182918981481,100.0,2,2,2,3.25,5.5,7.75,5.5,0.0,0.0,98.32913618016975,A
Brand: & Other Stories,1.0025182918981481,1.0025182918981481,1.0025182918981481,1.0025182918981481,50.0,1,1,2,33.0,41.0,49.0,41.0,0.0,0.0,98.32913618016975,A
Brand: 0039 Italy,1.0025182918981481,1.0025182918981481,1.0025182918981481,1.0025182918981481,100.0,1,1,1,45.0,45.0,45.0,45.0,0.0,0.0,98.32913618016975,A
Brand: 101 idees,,,,,0.0,0,0,1,14.95,14.95,14.95,14.95,,,,
Brand: 123,,,,,0.0,0,0,1,35.0,35.0,35.0,35.0,,,,
Brand: 194 Local,,,,,0.0,0,0,1,5.0,5.0,5.0,5.0,,,,
Brand: 2Two,,,,,0.0,0,0,1,21.0,21.0,21.0,21.0,,,,
Brand: 3 Suisses,1.0025182918981481,1.0025182918981481,1.0025182918981481,1.0025182918981481,66.66666666666666,2,2,3,3.5,5.0,5.5,4.333333333333333,0.0,0.0,98.32913618016975,A
Brand: 3 Suissescollection.,,,,,0.0,0,0,1,8.0,8.0,8.0,8.0,,,,
Brand: 4funkyflavours,,,,,0.0,0,0,1,12.5,12.5,12.5,12.5,,,,
Brand: 4th & Reckless,,,,,0.0,0,0,1,15.0,15.0,15.0,15.0,,,,
Brand: A-style,1.0025182918981481,1.0025182918981481,1.0025182918981481,1.0025182918981481,100.0,1,1,1,18.0,18.0,18.0,18.0,0.0,0.0,98.32913618016975,A
Brand: A.Rudzka,,,,,0.0,0,0,1,3.0,3.0,3.0,3.0,,,,
Brand: ALTA SARTORIA,,,,,0.0,0,0,1,4.3,4.3,4.3,4.3,,,,
Brand: AMBIKA,,,,,0.0,0,0,1,12.0,12.0,12.0,12.0,,,,
Brand: ANNA,,,,,0.0,0,0,1,15.0,15.0,15.0,15.0,,,,
Brand: ANNA CASTELLARO,,,,,0.0,0,0,1,17.5,17.5,17.5,17.5,,,,
Brand: ARKET,1.0025182918981481,1.0025182918981481,1.0025182918981481,1.0025182918981481,100.0,1,1,1,25.0,25.0,25.0,25.0,0.0,0.0,98.32913618016975,A
Brand: ASOS,1.0025182918981481,1.0025182918981483,1.0025182918981481,1.0025182918981481,44.44444444444444,12,12,27,10.0,20.0,47.5,43.648148148148145,0.0,0.0,92.7735806246142,A
Brand: ASOS Curve,1.0025182918981481,1.0025182918981481,1.0025182918981481,1.0025182918981481,100.0,1,1,1,7.0,7.0,7.0,7.0,0.0,0.0,98.32913618016975,A
Brand: ASOS Design,1.0025182918981481,1.0025182918981481,1.0025182918981481,1.0025182918981481,20.0,1,1,5,15.0,20.0,25.0,19.7,0.0,0.0,68.32913618016975,B
