2025-10-09 01:33:30,280 - INFO - ======================================================================
2025-10-09 01:33:30,280 - INFO - VINTED DATA PIPELINE - FULL RUN
2025-10-09 01:33:30,280 - INFO - ======================================================================
2025-10-09 01:33:30,280 - INFO - 
[1/2] Running Vinted scraper...
2025-10-09 01:33:30,280 - INFO - ----------------------------------------------------------------------
2025-10-09 01:33:31,236 - INFO - Loading homepage to capture cookies
2025-10-09 01:33:41,394 - INFO - Cookies captured: 16
2025-10-09 01:33:41,397 - INFO - Scraping combo: Zara - Dresses - Women
2025-10-09 01:33:41,397 - INFO - Page 1, Attempt 1: Fetching https://www.vinted.es/api/v2/catalog/items?page=1&per_page=960&catalog_ids=10&brand_ids=12&order=relevance
2025-10-09 01:33:45,629 - INFO - API Response status: 200
2025-10-09 01:33:45,635 - INFO - Saved API response to debug_response_Zara_page1_20251009_013345.json
2025-10-09 01:33:45,661 - INFO - Page 1: Found 960 items
2025-10-09 01:33:45,662 - INFO - Scraped: Vestido negro de Zara (5.5 EUR, published: 2025-10-08)
2025-10-09 01:33:45,662 - INFO - Scraped: Vestido mini Zara (5.0 EUR, published: 2025-10-08)
2025-10-09 01:33:45,662 - INFO - Scraped: Vestido largo espalda descubierta de Zara (5.0 EUR, published: 2025-10-08)
2025-10-09 01:33:45,662 - INFO - Scraped: Vestido lentejuelas Zara (15.0 EUR, published: 2025-10-08)
2025-10-09 01:33:45,662 - INFO - Scraped: Vestido mesh blanco Zara (5.0 EUR, published: 2025-10-08)
2025-10-09 01:33:45,662 - INFO - Scraped: Vestido estampado animal print (4.5 EUR, published: 2025-10-08)
2025-10-09 01:33:45,662 - INFO - Scraped: Vestido mini de Zara negro (5.0 EUR, published: 2025-10-08)
2025-10-09 01:33:45,662 - INFO - Scraped: Vestido blanco Zara (5.0 EUR, published: 2025-10-08)
2025-10-09 01:33:45,662 - INFO - Scraped: Vestido Zara M (10.0 EUR, published: 2025-10-08)
2025-10-09 01:33:45,662 - INFO - Scraped: Vestido marrón zara (25.0 EUR, published: 2025-10-08)
2025-10-09 01:33:45,663 - INFO - Scraped: Vestido blanco de Zara (2.0 EUR, published: 2025-10-08)
2025-10-09 01:33:45,663 - INFO - Scraped: Vestido de fiesta champagne (3.0 EUR, published: 2025-10-08)
2025-10-09 01:33:45,663 - INFO - Scraped: Vestido Zara S (7.0 EUR, published: 2025-10-08)
2025-10-09 01:33:45,663 - INFO - Scraped: Vestido zara verde Lima corto (5.0 EUR, published: 2025-10-08)
2025-10-09 01:33:45,663 - INFO - Scraped: Vestido negro (4.0 EUR, published: 2025-10-08)
2025-10-09 01:33:45,663 - INFO - Scraped: Vestido talla M (6.0 EUR, published: 2025-10-08)
2025-10-09 01:33:45,663 - INFO - Scraped: Vestido corto (5.0 EUR, published: 2025-10-08)
2025-10-09 01:33:45,663 - INFO - Scraped: Vestido negro (15.0 EUR, published: 2025-10-08)
2025-10-09 01:33:45,663 - INFO - Scraped: Vestido volantes (5.0 EUR, published: 2025-10-08)
2025-10-09 01:33:45,663 - INFO - Scraped: Vestido corto Zara (20.0 EUR, published: 2025-10-08)
2025-10-09 01:33:45,664 - INFO - Scraped: ZARA vestido negro (4.9 EUR, published: 2025-10-08)
2025-10-09 01:33:45,664 - INFO - Scraped: top halter satinado zara (10.0 EUR, published: 2025-10-08)
2025-10-09 01:33:45,664 - INFO - Scraped: Vestido rojo y negro lunares. (8.0 EUR, published: 2025-10-08)
2025-10-09 01:33:45,664 - INFO - Scraped: vestido negro volantes zara (12.0 EUR, published: 2025-10-08)
2025-10-09 01:33:45,664 - INFO - Scraped: Vestido largo Zara (4.99 EUR, published: 2025-10-07)
2025-10-09 01:33:45,664 - INFO - Scraped: Vestido lazo (10.0 EUR, published: 2025-10-07)
2025-10-09 01:33:45,664 - INFO - Scraped: Vestido blanco zara (5.0 EUR, published: 2025-10-06)
2025-10-09 01:33:45,664 - INFO - Scraped: Vestido lino conchitas en la manga (5.0 EUR, published: 2025-10-08)
2025-10-09 01:33:45,664 - INFO - Scraped: Vestido midi (1.0 EUR, published: 2025-10-08)
2025-10-09 01:33:45,664 - INFO - Scraped: Top peplum palabra de honor (10.0 EUR, published: 2025-10-07)
